Item,EDID,Upload as (filename),Likely source,Note
Accordion (Free),Furniture_Instrument_Accordion_FROMATX,atx_entm_camp_furniture_instrument_accordion.avif,Event dump,Event item (FURNITURE)
Cauldron Hot Tub,MN2_Workshop_Furniture_CauldronHotTub,mn2_workshop_furniture_cauldronhottub.avif,Event dump,Event item (MN2)
Sacred Mothman Tome,E07A_Furniture_SacredMothmanTome,e07a_furniture_sacredmothmantome.avif,Event dump,Event item (E07A)
Acoustic Guitar,Instrument_AcousticGuitar,instrument_acousticguitar.avif,In-game capture,Base-game craftable — no storefront tile ever produced (per texture audit)
Banjo,Instrument_Banjo,instrument_banjo.avif,In-game capture,Base-game craftable — no storefront tile ever produced (per texture audit)
Bass,Instrument_Bass,instrument_bass.avif,In-game capture,Base-game craftable — no storefront tile ever produced (per texture audit)
Chemical Barrel,Instrument_ChemicalBarrel,instrument_chemicalbarrel.avif,In-game capture,Base-game craftable — no storefront tile ever produced (per texture audit)
Comfy Beds,BedTypeComfy,comfy_beds.avif,In-game capture,No storefront tile exists — aggregate bed category row
Frame Drum,Instrument_FrameDrum,instrument_framedrum.avif,In-game capture,Base-game craftable — no storefront tile ever produced (per texture audit)
Grand Piano,Instrument_Grand_Piano,instrument_grand_piano.avif,In-game capture,Base-game craftable — no storefront tile ever produced (per texture audit)
Mattresses,BedTypeMattress,mattresses.avif,In-game capture,No storefront tile exists — aggregate bed category row
Metal Barrel,Instrument_MetalBarrel,instrument_metalbarrel.avif,In-game capture,Base-game craftable — no storefront tile ever produced (per texture audit)
Mouth Harp,Instrument_MouthHarp,instrument_mouthharp.avif,In-game capture,Base-game craftable — no storefront tile ever produced (per texture audit)
Nuka-lele,Instrument_Nukelele,instrument_nukelele.avif,In-game capture,Base-game craftable — no storefront tile ever produced (per texture audit)
Nuka-lele (Quantum),Instrument_Nukelele_Quantum,instrument_nukelele_quantum.avif,In-game capture,Base-game craftable — no storefront tile ever produced (per texture audit)
Sleeping Bags,BedTypeSleepingBag,sleeping_bags.avif,In-game capture,No storefront tile exists — aggregate bed category row
Snare Drum,Instrument_SnareDrum,instrument_snaredrum.avif,In-game capture,Base-game craftable — no storefront tile ever produced (per texture audit)
Steel Guitar,Instrument_SteelGuitar,instrument_steelguitar.avif,In-game capture,Base-game craftable — no storefront tile ever produced (per texture audit)
Sympto-matic,Workshop_Symptomatic,workshop_symptomatic.avif,In-game capture,Base-game craftable — no storefront tile ever produced (per texture audit)
Tuba,Instrument_Tuba,instrument_tuba.avif,In-game capture,Base-game craftable — no storefront tile ever produced (per texture audit)
Upright Piano,Instrument_Upright_Piano,instrument_upright_piano.avif,In-game capture,Base-game craftable — no storefront tile ever produced (per texture audit)
