FormID	EDID	FULL	Kind	DESC	QuestType	Flags	Priority	Location	StageCount	ObjectiveCount	AliasCount	Scripts	FragmentFile	GMRWRefs	SourceFile
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	Activity	Wipe out the horde that's infesting <Alias=Region>!	Event	Run Once ; Has Dialogue Data ; Uses Custom Expire Time ; Not Autotracked ; Kick All Players From Instance on Shutdown	0		9	2	37	DefaultEventQuest ; defaultquestencounterwavescript ; DefaultQuestRemovePlayersScript ; DefaultSimpleRespawnScript ; GQ_HordeQuestScript	fragments:quests:qf_gq01_horde_0000123f	00631244:QuestReward_GQ_Horde_Stage1000_01:GMRW ; 00631245:QuestReward_GQ_Horde_Stage110_01:GMRW ; 00631246:QuestReward_GQ_Horde_Stage120_01:GMRW ; 00631247:QuestReward_GQ_Horde_Stage130_01:GMRW ; 00631248:QuestReward_GQ_Horde_Stage140_01:GMRW ; 00631249:QuestReward_GQ_Horde_Stage200_01:GMRW	SeventySix.esm
0000418B	TW006	Activity: Protest March	Activity	Put down the protest march riot in Grafton.	Event	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Unique Instance ; Always Tracked ; Saves Completion ; Uses Custom Expire Time ; Not Autotracked ; Disable Event Announcement ; Kick All Players From Instance on Shutdown	62		6	2	13	DefaultEventQuest ; defaultquestemergencybroadcastscript ; defaultquestencounterwavescript ; DefaultQuestRemovePlayersScript	fragments:quests:qf_twz01_0000418b	0063131F:QuestReward_TW006_Stage1000_01:GMRW	SeventySix.esm
000043A2	MTNS05_Voices	Daily: Someone To Talk To	Daily	Collect data for Dr. Eddie Harrison's Vox device by shooting creatures with special darts.	Daily	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Saves Completion ; Can Be Rejected When Active ; Uses Custom Expire Time ; Not Autotracked	60		10	15	55	DefaultDailyQuestScript ; DefaultQuestRemovePlayersScript ; MTNS05QuestScript	Fragments:Quests:QF_MTNS05_Voices_000043A2	00631293:QuestReward_MTNS05_Voices_Stage400_01:GMRW	SeventySix.esm
00009179	GQ_WorkshopAttack_Takeover	Event: Retake <Alias=AttackLocation>	Event	It's been overrun by <Alias.RacePlural=AttackerName>!	Event	Has Dialogue Data ; Uses Custom Expire Time ; Not Autotracked ; Kick All Players From Instance on Shutdown	20		4	1	8	DefaultEventQuest ; defaultquestencounterwavescript ; GQ_WorkshopAttack_TakeoverScript	fragments:quests:qf_gq_workshopattack_takeove_00009179	0063124C:QuestReward_GQ_WorkshopAttack_Takeover_Stage50_01:GMRW	SeventySix.esm
0000FFED	FF09_Reaper	Activity: Fertile Soil	Activity	The Mr. Farmhands have malfunctioned and are now hostile. They must be dealt with!	Event	Run Once ; Has Dialogue Data ; Unique Instance ; Always Tracked ; Saves Completion ; Uses Custom Expire Time ; Not Autotracked ; Disable Event Announcement ; Kick All Players From Instance on Shutdown	50		12	2	20	DefaultEventQuest ; defaultquestemergencybroadcastscript ; DefaultQuestSetStageOnTimerScript ; FarmRobot01Script ; TutorialEventQuestScript	fragments:quests:qf_farmrobot01_0000ffed	0063122B:QuestReward_FF09_Reaper_Stage500_01:GMRW	SeventySix.esm
00011CCC	GQ_WorkshopAttackScorchbeasts	Event: Defend <Alias=AttackLocation>	Event	Defeat the Scorchbeast attack!	Event	Has Dialogue Data ; Always Tracked ; Uses Custom Expire Time ; Not Autotracked ; Kick All Players From Instance on Shutdown	20		5	1	11	DefaultEventQuest ; DefaultQuestRemovePlayersScript ; GQ_WorkshopAttackScorchbeastsScript ; SQ_ScorchbeastMasterScript	fragments:quests:qf_workshopattackvultures01_00011ccc	0063124D:QuestReward_GQ_WorkshopAttackScorchbeasts_Stage50_01:GMRW	SeventySix.esm
0001A634	RE_Scene_MTNZ05_Messenger	Event: The Messenger	Event	Ensure Mr. Messenger gets to his destination to deliver his message.	Event	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Unique Instance ; Always Tracked ; Saves Completion ; Uses Custom Expire Time ; Not Autotracked ; Kick All Players From Instance on Shutdown	60		13	3	31	DefaultEventQuest ; defaultquestencounterwavescript ; DefaultQuestRemovePlayersScript ; MTNZ05QuestScript	fragments:quests:qf_mtnz05_messenger_0001a634	006312D2:QuestReward_RE_Scene_MTNZ05_Messenger_Stage500_01:GMRW ; 006312D3:QuestReward_RE_Scene_MTNZ05_Messenger_Stage600_01:GMRW	SeventySix.esm
0001B46A	GQ_WorkshopAttack	Event: Defend <Alias=AttackLocation>	Event	An attack is imminent! Prepare your defenses.	Event	Has Dialogue Data ; Uses Custom Expire Time ; Not Autotracked ; Kick All Players From Instance on Shutdown	20		11	6	32	DefaultEventQuest ; defaultquestencounterwavescript ; DefaultQuestRemovePlayersScript ; GQ_WorkshopAttackScript	fragments:quests:qf_gq_workshopattack_0001b46a	0063124B:QuestReward_GQ_WorkshopAttack_Stage50_01:GMRW	SeventySix.esm
0001C035	FF05_Balance	Daily: Ecological Balance	Daily	Study the environment for possible Scorched contamination.	Daily	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Saves Completion ; Can Be Rejected When Active ; Uses Custom Expire Time ; Not Autotracked	60		17	13	18	DefaultDailyQuestScript ; DefaultQuestRemovePlayersScript ; GQ_MiscRegionPointerCompletionScript	Fragments:Quests:QF_RS03_Balance_0001C035	00631223:QuestReward_FF05_Balance_Stage1000_01:GMRW ; 00631224:QuestReward_FF05_Balance_Stage20_01:GMRW ; 00631225:QuestReward_FF05_Balance_Stage40_01:GMRW	SeventySix.esm
0002443A	CB02_MonsterMash	Activity: Monster Mash	Activity	Wear a pinata mask, get candy, turn it in for prizes, and avoid being beaten to a pulp!	Event	Allow Repeat Stages ; Run Once ; Has Dialogue Data ; Unique Instance ; Always Tracked ; Saves Completion ; Uses Custom Expire Time ; Not Autotracked ; Kick All Players From Instance on Shutdown	31		7	11	29	CB02_QuestScript ; CB02_RankedRewardQuestScript ; DefaultEventQuest ; defaultgamedayspassedglobalsscript ; DefaultQuestObjectiveScript ; defaultquestonaddplayersaddtoalias ; DefaultSimpleRespawnScript	Fragments:Quests:QF_CB02_MonsterMash_0002443A	006311C2:QuestReward_CB02_MonsterMash_Stage0_01:GMRW ; 006311C3:QuestReward_CB02_MonsterMash_Stage100_01:GMRW ; 006311C4:QuestReward_CB02_MonsterMash_Stage1_01:GMRW	SeventySix.esm
00029183	FFZ16_Swatter	Activity: Fly Swatter	Activity	Shoot down a damaged Vertibot to claim salvage.	Event	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Unique Instance ; Always Tracked ; Saves Completion ; Uses Custom Expire Time ; Not Autotracked ; Kick All Players From Instance on Shutdown	60		8	4	13	DefaultEventQuest ; defaultgamedayspassedglobalsscript ; defaultquestemergencybroadcastscript ; defaultquestencounterwavescript ; TutorialEventQuestScript	fragments:quests:qf_ffz16_swatter_00029183	00631233:QuestReward_FFZ16_Swatter_Stage1000_01:GMRW ; 00631234:QuestReward_FFZ16_Swatter_Stage1500_01:GMRW	SeventySix.esm
