QuestFormID	QuestEDID	AllyGuess	TopicOrder	TopicFormID	TopicEDID	TopicPrompt	TopicSubtype	TopicCategory	TopicPriority	TopicFlags	Branch	InfoCount	LineCount
0054EB3E	COMP_Quest_Camp_Full_Astronaut	Astronaut	0	0054EB44			Greeting	Miscellaneous	50.000000			161	272
0054EB3E	COMP_Quest_Camp_Full_Astronaut	Astronaut	1	00553B0B	COMP_Astronaut_Camp_PlayerResponse	What am I looking for, exactly?	Custom@1313162067	Scene	50.000000			16	48
0054EB3E	COMP_Quest_Camp_Full_Astronaut	Astronaut	2	00553B0C			Custom@1313162067	Scene	50.000000			0	0
0054EB3E	COMP_Quest_Camp_Full_Astronaut	Astronaut	3	0055546C			Shared Info	Miscellaneous	50.000000			122	136
0054EB3E	COMP_Quest_Camp_Full_Astronaut	Astronaut	4	0055546D			Custom@1313162067	Scene	50.000000			24	56
0054EB3E	COMP_Quest_Camp_Full_Astronaut	Astronaut	5	0055F85E			Hello	Miscellaneous	60.000000			65	102
0054EB3E	COMP_Quest_Camp_Full_Astronaut	Astronaut	6	0055F85F			Idle	Miscellaneous	50.000000			69	127
0054EB3E	COMP_Quest_Camp_Full_Astronaut	Astronaut	7	00564476	Choice-06_Bye	I'll be back later, Commander.	Custom@1313162067	Scene	50.000000			14	42
0054EB3E	COMP_Quest_Camp_Full_Astronaut	Astronaut	8	00564477	Choice-01_SPECIALs	[SPECIAL] I have something SPECIAL to say.	Custom@1313162067	Scene	50.000000			8	21
0054EB3E	COMP_Quest_Camp_Full_Astronaut	Astronaut	9	00564478	Choice-03_Missions	Let's talk about these missions.	Custom@1313162067	Scene	50.000000			11	33
0054EB3E	COMP_Quest_Camp_Full_Astronaut	Astronaut	10	0056447E		I survived through Strength, Endurance, or Agility.	Custom@1313162067	Scene	50.000000			8	20
0054EB3E	COMP_Quest_Camp_Full_Astronaut	Astronaut	11	0056447F			Custom@1313162067	Scene	50.000000			0	0
0054EB3E	COMP_Quest_Camp_Full_Astronaut	Astronaut	12	00564482			Custom@1313162067	Scene	50.000000			6	8
0054EB3E	COMP_Quest_Camp_Full_Astronaut	Astronaut	13	005644A3			Custom@1313162067	Scene	50.000000			0	0
0054EB3E	COMP_Quest_Camp_Full_Astronaut	Astronaut	14	005644A4			Custom@1313162067	Scene	50.000000			0	0
0054EB3E	COMP_Quest_Camp_Full_Astronaut	Astronaut	15	005644A5			Custom@1313162067	Scene	50.000000			0	0
0054EB3E	COMP_Quest_Camp_Full_Astronaut	Astronaut	16	0056DCB4			Custom@1313162067	Scene	50.000000			1	3
0054EB3E	COMP_Quest_Camp_Full_Astronaut	Astronaut	17	0056F676			Custom@1313162067	Scene	50.000000			1	1
0054EB3E	COMP_Quest_Camp_Full_Astronaut	Astronaut	18	0056F677	Choice-04_Yourself	Let's talk about you, Commander.	Custom@1313162067	Scene	50.000000			10	27
0054EB3E	COMP_Quest_Camp_Full_Astronaut	Astronaut	19	0056F678			Custom@1313162067	Scene	50.000000			0	0
